action,ordo_date,ordo_name,ordo_season,ordo_week,ordo_rank,lectionary_admin_order,lectionary_current_name,lectionary_proposed_name,similarity,confidence
ADD,2026-07-31,Saint Ignatius Loyola,,,Memorial,2,Missing from Lectionary - needs manual addition
ADD,2026-08-01,Saint Alphonsus Liguori,,,Memorial,2,Missing from Lectionary - needs manual addition
ADD,2026-08-03,Saint Dominic,,,Memorial,2,Missing from Lectionary - needs manual addition
ADD,2026-08-04,Saint John Vianney,,,Memorial,2,Missing from Lectionary - needs manual addition
ADD,2026-08-10,Saint Lawrence,,,Memorial,2,Missing from Lectionary - needs manual addition
ADD,2026-08-11,Saint Clare,,,Memorial,2,Missing from Lectionary - needs manual addition
ADD,2026-08-14,Saint Maximilian Kolbe,,,Memorial,2,Missing from Lectionary - needs manual addition
ADD,2026-08-20,Saint Bernard,,,Memorial,2,Missing from Lectionary - needs manual addition
ADD,2026-08-21,Saint Pius X,,,Memorial,2,Missing from Lectionary - needs manual addition
ADD,2026-08-22,The Queenship of the Blessed Virgin Mary,,,Feria,2,Missing from Lectionary - needs manual addition
ADD,2026-08-24,Saint Bartholomew,,,Memorial,2,Missing from Lectionary - needs manual addition
ADD,2026-08-27,Saint Monica,,,Memorial,2,Missing from Lectionary - needs manual addition
ADD,2026-08-28,Saint Augustine,,,Memorial,2,Missing from Lectionary - needs manual addition
ADD,2026-08-29,The Passion of Saint John the Baptist,,,Memorial,2,Missing from Lectionary - needs manual addition
ADD,2026-09-03,Saint Gregory the Great,,,Memorial,2,Missing from Lectionary - needs manual addition
ADD,2026-09-08,The Nativity of the Blessed Virgin Mary,,,Feria,2,Missing from Lectionary - needs manual addition
ADD,2026-09-14,The Exaltation of the Holy Cross,,,Feria,2,Missing from Lectionary - needs manual addition
ADD,2026-09-16,Saints Cornelius and Cyprian,,,Memorial,2,Missing from Lectionary - needs manual addition
ADD,2026-09-21,Saint Matthew,,,Memorial,2,Missing from Lectionary - needs manual addition
ADD,2026-09-23,Saint Pius of Pietrelcina,,,Memorial,2,Missing from Lectionary - needs manual addition
ADD,2026-09-29,"Saints Michael, Gabriel and Raphael",,,Memorial,2,Missing from Lectionary - needs manual addition
ADD,2026-09-30,Saint Jerome,,,Memorial,2,Missing from Lectionary - needs manual addition
ADD,2026-10-02,The Holy Guardian Angels,,,Feast,A,Missing from Lectionary - needs manual addition
ADD,2026-10-15,Saint Teresa of Jesus,,,Memorial,2,Missing from Lectionary - needs manual addition
ADD,2026-10-17,Saint Ignatius of Antioch,,,Memorial,2,Missing from Lectionary - needs manual addition
ADD,2026-10-28,Saints Simon and Jude,,,Memorial,2,Missing from Lectionary - needs manual addition
ADD,2026-11-01,ALL SAINTS,,,Solemnity,A,Missing from Lectionary - needs manual addition
ADD,2026-11-04,Saint Charles Borromeo,,,Memorial,2,Missing from Lectionary - needs manual addition
ADD,2026-11-11,Saint Martin of Tours,,,Memorial,2,Missing from Lectionary - needs manual addition
ADD,2026-11-12,Saint Josaphat,,,Memorial,2,Missing from Lectionary - needs manual addition
ADD,2026-11-17,Saint Elizabeth of Hungary,,,Memorial,2,Missing from Lectionary - needs manual addition
ADD,2026-11-21,The Presentation of the Blessed Virgin Mary,,,Feria,2,Missing from Lectionary - needs manual addition
ADD,2026-11-24,Saint Andrew Dũng-Lạc and Companions,,,Memorial,2,Missing from Lectionary - needs manual addition
ADD,2026-11-30,Saint Andrew,,,Memorial,2,Missing from Lectionary - needs manual addition
ADD,2026-12-03,Saint Francis Xavier,,,Memorial,2,Missing from Lectionary - needs manual addition
ADD,2026-12-07,Saint Ambrose,,,Memorial,2,Missing from Lectionary - needs manual addition
ADD,2026-12-17,17 December,,,Feria,2,Missing from Lectionary - needs manual addition
ADD,2026-12-18,18 December,,,Feria,2,Missing from Lectionary - needs manual addition
ADD,2026-12-19,19 December,,,Feria,2,Missing from Lectionary - needs manual addition
ADD,2026-12-21,21 December,,,Feria,2,Missing from Lectionary - needs manual addition
ADD,2026-12-22,22 December,,,Feria,2,Missing from Lectionary - needs manual addition
ADD,2026-12-23,23 December,,,Feria,2,Missing from Lectionary - needs manual addition
ADD,2026-12-24,24 December,,,Feria,2,Missing from Lectionary - needs manual addition
ADD,2026-12-26,Saint Stephen,,,Memorial,2,Missing from Lectionary - needs manual addition
ADD,2026-12-28,The Holy Innocents,,,Feast,A,Missing from Lectionary - needs manual addition
